[SNID] Subject,[PT] Subject,Subject,Predicate,[SNID] Object,[PT] Object,Object,Sentence,Location,#Docs,Doc#,Doc,Source,#Hits,Hit#,Hit
nlm.D004815,Epidermal Growth Factor,EGF,selectively impair,ncbi.138428,PTRH1,PTH-,The results indicate that TGF-alpha and EGF selectively impair PTH- and beta-adrenergic agonist-responsive adenylate cyclase of osteoblast-like cells.,Standard Abstract,1,1,3500168,https://www.ncbi.nlm.nih.gov/pubmed/3500168,1,1,The effects of transforming growth factor alpha (TGF-alpha) and epidermal growth factor (EGF) on parathyroid hormone (PTH)-responsive adenylate cyclase were examined in clonal rat osteosarcoma cells (UMR-106) with the osteoblast phenotype.... The results indicate that TGF-alpha and EGF selectively impair PTH- and beta-adrenergic agonist-responsive adenylate cyclase of osteoblast-like cells.... eng
nlm.D016222,Fibroblast Growth Factor 2,FGF2,increased,ncbi.5594,MAPK1,ERK,"Fibroblast growth factor 2 (FGF2) increased the phosphorylation of ERK, but did not significantly increase the expression of osteoblast gene markers.",Standard Abstract,1,1,17570829,https://www.ncbi.nlm.nih.gov/pubmed/17570829,1,1,"Microgravity (MG) results in a reduction in bone formation.... Fibroblast growth factor 2 (FGF2) increased the phosphorylation of ERK, but did not significantly increase the expression of osteoblast gene markers.... eng"
nlm.D004815,Epidermal Growth Factor,EGF,also stimulated,ncbi.5594,MAPK1,ERK,"Epidermal growth factor (EGF) also stimulated the activity of ERK, in both WKY and SHR cells, but nor of JNK or p38, with stimulation of ERK activity by EGF occurring more rapidly in SHR cells than in those from WKY rats.",Standard Abstract,1,1,10608465,https://www.ncbi.nlm.nih.gov/pubmed/10608465,1,1,"Transforming growth factor-beta1 (TGF-beta1) stimulates vascular smooth muscle cell growth in spontaneously hypertensive rats (SHR), but inhibits cell growth in normotensive Wistar- Kyoto (WKY) rats.... Epidermal growth factor (EGF) also stimulated the activity of ERK, in both WKY and SHR cells, but nor of JNK or p38, with stimulation of ERK activity by EGF occurring more rapidly in SHR cells than in those from WKY rats.... eng"
nlm.D015675,Osteocalcin,Gla-osteocalcin,undercarboxylated,ncbi.632,BGLAP,osteocalcin,"The aim of this study was to determine the effects of warfarin and edoxaban, a direct factor Xa inhibitor, on the serum concentration of total, gamma-carboxylated (Gla-osteocalcin) and undercarboxylated osteocalcin (uc-osteocalcin) in rats.",Standard Abstract,1,1,22999414,https://www.ncbi.nlm.nih.gov/pubmed/22999414,1,1,"Osteocalcin plays a role in bone homeostasis. The vitamin K cycle is essential for the gamma-carboxylation of glutamic acid residues in osteocalcin.... The aim of this study was to determine the effects of warfarin and edoxaban, a direct factor Xa inhibitor, on the serum concentration of total, gamma-carboxylated (Gla-osteocalcin) and undercarboxylated osteocalcin (uc-osteocalcin) in rats.... eng"
nal_thesaurus.10538,RNA,a mismatched RNA,requires,ncbi.10195,ALG3,not,The antisense strand of such a mismatched RNA requires a 5'-phosphate but not a 3'-hydroxyl group.,Standard Abstract,1,1,12952966,https://www.ncbi.nlm.nih.gov/pubmed/12952966,1,1,A 21-base pair RNA duplex that perfectly matches an endogenous target mRNA selectively degrades the mRNA and suppresses gene expression in mammalian tissue culture cells.... The antisense strand of such a mismatched RNA requires a 5'-phosphate but not a 3'-hydroxyl group. ... eng
chebi.53444,potassium dichromate,potassium dichromate,gave,ncbi.7439,BEST1,best,"Our findings indicate that storage in ethanol or potassium dichromate at 4 degrees C gave the best results and, that if immunomagnetic separation was used prior to PCR (as may be appropriate for samples with low cyst numbers), then storage in potassium dichromate gave the best results.",Standard Abstract,1,1,19576935,https://www.ncbi.nlm.nih.gov/pubmed/19576935,2,2,"Genotyping of Giardia duodenalis cysts in faecal samples has become a regularly employed tool by researchers investigating different aspects of the epidemiology and pathology of Giardia infection in human and animal populations.... Our findings indicate that storage in ethanol or potassium dichromate at 4 degrees C gave the best results and, that if immunomagnetic separation was used prior to PCR (as may be appropriate for samples with low cyst numbers), then storage in potassium dichromate gave the best results. ... eng"
nlm.D013395,Sucrose,sucrose consumption,decreased significantly,ncbi.4948,OCA2,P,"Compared to normal control group, the crossing movement and rearing movement times of open-field test, and sucrose consumption in model group decreased significantly (P < 0.01), and hippocampal SS and SS mRNA expressions were downregulated remarkably (P < 0.05).",Standard Abstract,1,1,19761111,https://www.ncbi.nlm.nih.gov/pubmed/19761111,1,1,"To study the underlying mechanism of electroacupuncture (EA) in relieving depression.... Compared to normal control group, the crossing movement and rearing movement times of open-field test, and sucrose consumption in model group decreased significantly (P < 0.01), and hippocampal SS and SS mRNA expressions were downregulated remarkably (P < 0.05).... chi"
nlm.D019344,Lactic Acid,3-nitro-2-hydroxypropionic acid,interacts,ncbi.2523,FUT1,E(H(mf))H,"Therefore, 3-nitro-2-hydroxypropionic acid interacts with E(H(mf))H and not with E(m) or E(f) isoforms.",Standard Abstract,1,1,9922130,https://www.ncbi.nlm.nih.gov/pubmed/9922130,1,1,"Recycling of yeast fumarase to permit repetition of its reaction chemistry requires two proton transfers and two conformational changes, in pathways that are different in detail but thematically similar in the two directions.... Therefore, 3-nitro-2-hydroxypropionic acid interacts with E(H(mf))H and not with E(m) or E(f) isoforms.... eng"
nlm.D020381,Interleukin-17,IL-17(+)Th17,correlate positively,ncbi.140913,PPIAP10,CRP,"The percentage of Th1 and Th17, intensity of Th17 and value of Th1/Th2 were higher than the healthy controls (P<0.05); After etanercept treatment the percentage and intensity of Th17 were significantly decreased (P<0.01), as well as the percentage of Th1 and value of Th1/Th2 (P<0.05), level of IL-17 decreased significantly but IFN-gamma, IL-4 had no significant difference; The percentage of IL-17(+)Th17 on CD4(+) T cells correlate positively to CRP and DAS28.",Standard Abstract,1,1,18466711,https://www.ncbi.nlm.nih.gov/pubmed/18466711,1,1,"To ascertain the effect of etanercept treatment on the T-helper cells subsets (including Th1, Th2, Th17) in rheumatoid arthritis (RA).... The percentage of Th1 and Th17, intensity of Th17 and value of Th1/Th2 were higher than the healthy controls (P<0.05); After etanercept treatment the percentage and intensity of Th17 were significantly decreased (P<0.01), as well as the percentage of Th1 and value of Th1/Th2 (P<0.05), level of IL-17 decreased significantly but IFN-gamma, IL-4 had no significant difference; The percentage of IL-17(+)Th17 on CD4(+) T cells correlate positively to CRP and DAS28. ... chi"
nal_thesaurus.876,proteins,the proteins,interact,ncbi.7965,AIMP2,p38,"To determine the molecular and regulative mechanism of p38 signal pathway, we used in vitro binding methods to screen the proteins that interact with p38.",Standard Abstract,1,1,20213365,https://www.ncbi.nlm.nih.gov/pubmed/20213365,1,1,"p38 MAP kinase mediates a signal pathway that is involved in many physiological and pathological processes such as inflammation, cellular stress, apoptosis, cell cycle and growth, ischemia/re-perfusion, and myocardium hypertrophy. To determine the molecular and regulative mechanism of p38 signal pathway, we used in vitro binding methods to screen the proteins that interact with p38. ... eng"
nlm.D000936,Antigen-Antibody Complex,Immune complexes,consisting,ncbi.5196,PF4,platelet factor 4,"Immune complexes consisting of heparin, platelet factor 4 (PF4), and PF4/heparin-reactive antibodies are central to the pathogenesis of heparin-induced thrombocytopenia (HIT).",Standard Abstract,1,1,24357731,https://www.ncbi.nlm.nih.gov/pubmed/24357731,1,1,"Immune complexes consisting of heparin, platelet factor 4 (PF4), and PF4/heparin-reactive antibodies are central to the pathogenesis of heparin-induced thrombocytopenia (HIT).... eng"
nlm.D009320,Atrial Natriuretic Factor,The immunoreactive ANP,secreted,ncbi.114548,NLRP3,AVP,"The immunoreactive ANP secreted in response to AVP was the major brain isoform, ANP-(103-126).",Standard Abstract,1,1,1380442,https://www.ncbi.nlm.nih.gov/pubmed/1380442,1,1,"The central nervous system modulates cardiovascular function and fluid and electrolyte balance in part through the actions of vasoactive peptides/neurotransmitters.... The immunoreactive ANP secreted in response to AVP was the major brain isoform, ANP-(103-126).... eng"
nlm.D007334,Insulin-Like Growth Factor I,the IGF-I-induced,fall,ncbi.4948,OCA2,P,Co-infusion of equimolar concentrations of human IGFBP-1 abolished the IGF-I-induced fall (P less than 0.001).,Standard Abstract,1,1,1717244,https://www.ncbi.nlm.nih.gov/pubmed/1717244,1,1,We have determined the consequences of insulin-like growth factor-binding protein-1 (IGFBP-1) administration alone and in combination with insulin-like growth factor-I (IGF-I).... Co-infusion of equimolar concentrations of human IGFBP-1 abolished the IGF-I-induced fall (P less than 0.001). ... eng
nlm.D050794,STAT1 Transcription Factor,signal transducer and activator of transcription 1 (Stat1)-/,neutralizing,ncbi.3439,IFNA1,IFN-γ,"The roles of interferons were examined in vivo and in vitro by using signal transducer and activator of transcription 1 (Stat1)-/- mice and neutralizing antibodies against IFN-γ and IFN-α/β receptor subunit 1, and their cellular sources were identified.",Standard Abstract,1,1,30914379,https://www.ncbi.nlm.nih.gov/pubmed/30914379,1,1,"Group 2 innate lymphoid cells (ILC2s) are important mediators of allergic asthma.... The roles of interferons were examined in vivo and in vitro by using signal transducer and activator of transcription 1 (Stat1)-/- mice and neutralizing antibodies against IFN-γ and IFN-α/β receptor subunit 1, and their cellular sources were identified.... eng"
nlm.D014409,Tumor Necrosis Factor-alpha,TNF-alpha,significantly increased,ncbi.3726,JUNB,AP-1,"Using luciferase reporter assays, we demonstrated that TNF-alpha significantly increased activator protein-1 (AP-1) transcriptional activity in the MCF7 cells.",Standard Abstract,1,1,19553068,https://www.ncbi.nlm.nih.gov/pubmed/19553068,1,1,"Vascular endothelial growth factor (VEGF) has been implicated in breast tumor angiogenesis.... Using luciferase reporter assays, we demonstrated that TNF-alpha significantly increased activator protein-1 (AP-1) transcriptional activity in the MCF7 cells.... eng"
nlm.D006531,HEPES,HEPES,buffered,ncbi.1131,CHRM3,PBS,"HEPES buffered PBS supplemented with 10 mM glucose was not sufficient to sustain cell viability unless 2 mM pyruvate was added, yet a cocktail of PBS and M199 provided an even greater viability.",Standard Abstract,1,1,29091577,https://www.ncbi.nlm.nih.gov/pubmed/29091577,1,1,"Although techniques for isolating and culturing adult cardiomyocytes were developed four decades ago, it still remains a challenge to isolate high yields of healthy viable cardiomyocytes, to maintain them in culture, and to use them successfully in experiments.... HEPES buffered PBS supplemented with 10 mM glucose was not sufficient to sustain cell viability unless 2 mM pyruvate was added, yet a cocktail of PBS and M199 provided an even greater viability.... eng"
nal_thesaurus.47498,interleukin-10,IL-10,synergistically induced,ncbi.6369,CCL24,CCL24,"Moreover, IL-4 and IL-10 synergistically induced CCL24 (Eotaxin-2) production.",Standard Abstract,1,1,25267883,https://www.ncbi.nlm.nih.gov/pubmed/25267883,1,1,"M2 macrophages have been subdivided into subtypes such as IL-4-induced M2a and IL-10-induced M2c in vitro.... Moreover, IL-4 and IL-10 synergistically induced CCL24 (Eotaxin-2) production. ... eng"
chebi.28262,dimethyl sulfoxide,DMSO,bleaching,ncbi.4948,OCA2,"p-N,N-dimethylnitrosoaniline","Relative to iron (III) chelated to EDTA, the lactobionic acid-iron (III) complex is less able to participate in the Fenton reaction as measured by formaldehyde generation from DMSO and bleaching of p-N,N-dimethylnitrosoaniline.",Standard Abstract,1,1,2601586,https://www.ncbi.nlm.nih.gov/pubmed/2601586,1,1,"Lactobionic acid, a major constituent of a solution used to preserve organs prior to transplantation, can chelate ferric iron.... Relative to iron (III) chelated to EDTA, the lactobionic acid-iron (III) complex is less able to participate in the Fenton reaction as measured by formaldehyde generation from DMSO and bleaching of p-N,N-dimethylnitrosoaniline. ... eng"
nlm.D017392,Thiobarbituric Acid Reactive Substances,MDA/TBARS,positively correlated,ncbi.6647,SOD1,SOD-1,MDA/TBARS positively correlated with IL-6 and SOD-1 and negatively with catalase.,Standard Abstract,1,1,22868800,https://www.ncbi.nlm.nih.gov/pubmed/22868800,1,1,Crohn's disease (CD) is an incurable and difficult to diagnose condition.... MDA/TBARS positively correlated with IL-6 and SOD-1 and negatively with catalase. ... eng
nlm.D013754,Tetracyclines,lipophilic tetracyclines,inhibit,ncbi.5320,PLA2G2A,PLA2,"We conclude that lipophilic tetracyclines inhibit PLA2, probably by interaction with the substrate, and may be a useful adjunct in the therapy of inflammatory conditions in which PLA2 is implicated pathogenetically.",Standard Abstract,1,1,1417938,https://www.ncbi.nlm.nih.gov/pubmed/1417938,1,1,"Extracellular phospholipases A2 play an important role in articular and extra-articular inflammatory processes.... We conclude that lipophilic tetracyclines inhibit PLA2, probably by interaction with the substrate, and may be a useful adjunct in the therapy of inflammatory conditions in which PLA2 is implicated pathogenetically.... eng"
nlm.D017239,Paclitaxel,Paclitaxel,inhibited,ncbi.7422,VEGFA,VEGF,"Paclitaxel inhibited the production of VEGF in A549 cells, while cisplatin and erlotinib did not.",Standard Abstract,1,1,22993609,https://www.ncbi.nlm.nih.gov/pubmed/22993609,1,1,"Vascular endothelial growth factor (VEGF) plays an important role in the process of angiogenesis in many types of cancer, including non-small cell lung cancer (NSCLC), and angiogenesis inhibitors and standard chemotherapy exhibit synergy though an unknown mechanism.... Paclitaxel inhibited the production of VEGF in A549 cells, while cisplatin and erlotinib did not.... eng"
nal_thesaurus.32965,insulin,anti-insulin receptor antibodies,acting,ncbi.3630,INS,insulin,The clinical picture would suggest that recurrent hypoglycaemia was caused by anti-insulin receptor antibodies acting as insulin on target cells.,Standard Abstract,1,1,6663610,https://www.ncbi.nlm.nih.gov/pubmed/6663610,1,1,A 46-year-old female patient suffering from Lupus Nephritis came to our attention in 1981 for severe recurrent hypoglycaemia; she was obliged to eat every 5-7 hr to maintain glucose values not below 1.3-1.6 mM.... The clinical picture would suggest that recurrent hypoglycaemia was caused by anti-insulin receptor antibodies acting as insulin on target cells. ... eng
chebi.43253,3-isobutyl-1-methyl-9H-xanthine,3-isobutyl-1-methylxanthine,mimicked,ncbi.1442,CSH1,CSA,"Agonists of cAMP, 3-isobutyl-1-methylxanthine and N-2-O-dibutyryl-cAMP, mimicked the effect of CSA on VEGF production, while a cAMP antagonist, 2',3'-dideoxyadenosine, abrogated the effect of CSA.",Standard Abstract,1,1,12115224,https://www.ncbi.nlm.nih.gov/pubmed/12115224,1,1,"To determine the antiangiogenic effect of cyclosporin A (CSA) in rheumatoid arthritis (RA).... Agonists of cAMP, 3-isobutyl-1-methylxanthine and N-2-O-dibutyryl-cAMP, mimicked the effect of CSA on VEGF production, while a cAMP antagonist, 2',3'-dideoxyadenosine, abrogated the effect of CSA.... eng"
nlm.D013917,Thrombin,thrombin-receptor-activating peptide enhanced IL-10 production,induced,ncbi.4948,OCA2,p,"Addition of platelets activated by thrombin-receptor-activating peptide enhanced IL-10 production induced by LPS (p < 0.001), TG (p < 0.05), and P. gingivalis (p < 0.01), and reduced the production of TNF-α induced by LPS (p < 0.001), TG (p < 0.05), and P. gingivalis (p < 0.001), and of IL-6 in LPS- and P. gingivalis-stimulated cultures (p < 0.001).",Standard Abstract,1,1,24048901,https://www.ncbi.nlm.nih.gov/pubmed/24048901,1,1,"Activated platelets are known to modulate immune responses by secreting or shedding a range of immunomodulatory substances.... Addition of platelets activated by thrombin-receptor-activating peptide enhanced IL-10 production induced by LPS (p < 0.001), TG (p < 0.05), and P. gingivalis (p < 0.01), and reduced the production of TNF-α induced by LPS (p < 0.001), TG (p < 0.05), and P. gingivalis (p < 0.001), and of IL-6 in LPS- and P. gingivalis-stimulated cultures (p < 0.001).... eng"
nlm.D017311,Amlodipine,Amlodipine,produced,ncbi.8706,B3GALNT1,P,Amlodipine produced significant (P less than 0.05) blood pressure reductions throughout the study without significant changes in heart rate.,Standard Abstract,1,1,1839435,https://www.ncbi.nlm.nih.gov/pubmed/1839435,1,1,Three hundred and twenty hypertensive out-patients were recruited to this multicentre general practice study of the efficacy and safety of amlodipine.... Amlodipine produced significant (P less than 0.05) blood pressure reductions throughout the study without significant changes in heart rate.... eng
nal_thesaurus.42920,somatostatin,somatostatin antiserum pretreated rats,gave,ncbi.2691,GHRH,GRF,Chlorpromazine plus somatostatin antiserum pretreated rats gave consistent response to GRF which was not observed in untreated rats.,Standard Abstract,1,1,2864652,https://www.ncbi.nlm.nih.gov/pubmed/2864652,1,1,"The effect of hypo- and hyperthyroidism on the plasma growth hormone (GH) response to synthetic human growth hormone releasing factor (GRF) was determined in conscious, freely moving rats pretreated with chlorpromazine and antiserum against somatostatin. Chlorpromazine plus somatostatin antiserum pretreated rats gave consistent response to GRF which was not observed in untreated rats.... eng"
nal_thesaurus.56445,silica,low viscosity silica sol gradients,effectively separates,ncbi.9215,LARGE1,large,"Centrifugation of mixed chloroplast preparations from Panicum maximum through low viscosity silica sol gradients effectively separates large, starch-containing chloroplasts from smaller plastids.",Standard Abstract,1,1,16660019,https://www.ncbi.nlm.nih.gov/pubmed/16660019,1,1,"The first method for the direct separation of mesophyll and bundle sheath chloroplasts from whole tissue homogenates of a C(4) plant is described. Centrifugation of mixed chloroplast preparations from Panicum maximum through low viscosity silica sol gradients effectively separates large, starch-containing chloroplasts from smaller plastids.... eng"
chebi.47775,high-density lipoprotein cholesterol,high-density lipoprotein cholesterol,related,ncbi.404677,CIMT,CIMT,"Of the risk factors under study, age, sex, diastolic blood pressure, body mass index, total cholesterol, and high-density lipoprotein cholesterol related to CIMT.",Standard Abstract,1,1,25624341,https://www.ncbi.nlm.nih.gov/pubmed/25624341,1,1,"Although atherosclerosis starts in early life, evidence on risk factors and atherosclerosis in individuals aged <45 years is scarce.... Of the risk factors under study, age, sex, diastolic blood pressure, body mass index, total cholesterol, and high-density lipoprotein cholesterol related to CIMT. ... eng"
nlm.D001224_group_0_d41d8cd98f00b204e9800998ecf8427e,Aspartic Acid,aspartate,releases induced,ncbi.627,BDNF,BDNF,"Rapid and transient glutamate and aspartate releases induced by BDNF were observed from cultured cortical, hippocampal, striatal and cerebellar neurons.",Standard Abstract,1,1,10526139,https://www.ncbi.nlm.nih.gov/pubmed/10526139,1,1,"Brain-derived neurotrophic factor (BDNF) has been suggested to play an important role in neuronal plasticity.... Rapid and transient glutamate and aspartate releases induced by BDNF were observed from cultured cortical, hippocampal, striatal and cerebellar neurons.... eng"
nlm.D011134,Polysaccharides,terminal glycans,changed,ncbi.8706,B3GALNT1,P,"The stained area of core mucin glycans changed (P < 0.05) in association with follicular versus luteal phases, whereas terminal glycans changed (P < 0.05) mainly at the time of estrus and shortly thereafter.",Standard Abstract,1,1,21803974,https://www.ncbi.nlm.nih.gov/pubmed/21803974,1,1,"The cervix and its secretions undergo biochemical and physical changes under the differential influences of estrogen and progesterone.... The stained area of core mucin glycans changed (P < 0.05) in association with follicular versus luteal phases, whereas terminal glycans changed (P < 0.05) mainly at the time of estrus and shortly thereafter.... eng"
nal_thesaurus.206227,polylactic acid,polylactic acid,formed,ncbi.207,AKT1,rac-LA,Homonuclear decoupled 1H-NMR analyses of polylactic acid (PLA) formed with rac-LA proved isotactic enrichment of the PLA microstructure.,Standard Abstract,1,1,31338277,https://www.ncbi.nlm.nih.gov/pubmed/31338277,1,1,"Zinc phenoxide complexes L1ZnOAr 1-4 (L1=Me2NC2H4NC(Me)CHC(Me)O) and L2ZnOAr 5-8 (L2=Me2NC3H6NC(Me)CHC(Me)O) with donor-functionalized β-ketoiminate ligands (L1/2 ) and OAr substituents (Ar=Ph 1 , 5 ; 2,6-Me2-C6H3 2 , 6 ; 3,5-Me2-C6H3 3 , 7 ; 4-Bu-C6H4 4 , 8 ) with tuneable electronic and steric properties were synthesized and characterized.... Homonuclear decoupled 1H-NMR analyses of polylactic acid (PLA) formed with rac-LA proved isotactic enrichment of the PLA microstructure.... eng"
nal_thesaurus.876,proteins,Proteins,rely,ncbi.3326,HSP90AB1,Hsp90,Proteins that rely on Hsp90 for function are delivered to Hsp90 utilizing a co-chaperone-assisted cycle.,Standard Abstract,1,1,29203712,https://www.ncbi.nlm.nih.gov/pubmed/29203712,1,1,"The molecular chaperone heat shock protein 90 (Hsp90) facilitates metastable protein maturation, stabilization of aggregation-prone proteins, quality control of misfolded proteins and assists in keeping proteins in activation-competent conformations. Proteins that rely on Hsp90 for function are delivered to Hsp90 utilizing a co-chaperone-assisted cycle.... eng"
nlm.D018621,PrPC Proteins,PrP-sen,converting,ncbi.722,C4BPA,PrP-res,"Thus, although spectroscopic data indicate the salt bridges do not substantially stabilize PrP-sen, the cell-free conversion data suggest that Asp-144 and Asp-147 and their respective salt bridges stabilize PrP-sen from converting to PrP-res.",Standard Abstract,1,1,12551897,https://www.ncbi.nlm.nih.gov/pubmed/12551897,1,1,"A key event in the pathogenesis of transmissible spongiform encephalopathies is the conversion of PrP-sen to PrP-res.... Thus, although spectroscopic data indicate the salt bridges do not substantially stabilize PrP-sen, the cell-free conversion data suggest that Asp-144 and Asp-147 and their respective salt bridges stabilize PrP-sen from converting to PrP-res. ... eng"
nal_thesaurus.30815,curcumin,curcumin-mediated,increased,ncbi.25824,PRDX5,Prdx6,"Also, curcumin failed to activate Prdx6 expression in the presence of Sp1 inhibitors, demonstrating that curcumin-mediated increased expression of Prdx6 was dependent on Sp1 activity.",Standard Abstract,1,1,22113199,https://www.ncbi.nlm.nih.gov/pubmed/22113199,1,1,"Peroxiredoxin 6 (Prdx6) is a pleiotropic oxidative stress-response protein that defends cells against reactive oxygen species (ROS)-induced damage.... Also, curcumin failed to activate Prdx6 expression in the presence of Sp1 inhibitors, demonstrating that curcumin-mediated increased expression of Prdx6 was dependent on Sp1 activity.... eng"
